,Unnamed: 0,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1
135,1,5000,1,1,10,0,0,ogsa_fw,7,1.15,1.03,3940537.0,3520829.97,164285749.0,0.11,0.15,0.0064360000000000025,4.4102559999999995,,,
136,0,5000,1,6,10,0,0,minizinc_fw,19,1.18,1.12,3935130.0,3745785.64,160491435.0,0.05,0.13,0.04524,4449.259990000001,,,
137,1,5000,1,6,10,0,0,ogsa_fw,19,1.18,1.02,3935130.0,3417404.72,160491435.0,0.13,0.15,0.006831999999999998,4.708560000000001,,,
138,0,5000,1,3,10,0,0,minizinc_fw,23,1.22,1.11,4075016.0,3716666.96,160059619.0,0.09,0.09,0.03005333333333333,4781.366666666666,,,
139,1,5000,1,3,10,0,0,ogsa_fw,23,1.22,1.04,4075016.0,3475999.23,160059619.0,0.15,0.11,0.006862162162162164,4.638705405405406,,,
140,0,5000,1,6,10,0,0,minizinc_fw,24,1.21,1.13,4066352.0,3810322.23,161184526.0,0.06,0.09,0.01888333333333333,5749.814966666666,,,
141,1,5000,1,6,10,0,0,ogsa_fw,24,1.21,1.04,4066352.0,3485523.39,161184526.0,0.14,0.13,0.008808695652173914,4.434613043478262,,,
142,0,5000,1,3,10,0,0,minizinc_fw,13,1.24,1.16,4142552.0,3893392.96,161004077.0,0.06,0.07,0.017225,5550.3562375,,,
143,1,5000,1,3,10,0,0,ogsa_fw,13,1.24,1.08,4142552.0,3625327.89,161004077.0,0.12,0.1,0.006850000000000003,4.5555666666666665,,,
144,0,5000,1,1,10,0,0,minizinc_fw,22,1.2,1.13,4087782.0,3851031.99,162940010.0,0.06,0.1,0.017720000000000003,5096.5799799999995,,,
145,1,5000,1,1,10,0,0,ogsa_fw,22,1.2,1.04,4087782.0,3527353.88,162940010.0,0.14,0.12,0.006840740740740741,4.955996296296296,,,
146,0,5000,1,1,10,0,0,minizinc_fw,17,1.24,1.17,4147771.0,3941437.74,161104483.0,0.05,0.06,0.02004285714285714,4258.272857142857,,,
147,1,5000,1,1,10,0,0,ogsa_fw,17,1.24,1.09,4147771.0,3658842.94,161104483.0,0.12,0.09,0.007342307692307694,4.375403846153846,,,
148,0,5000,1,9,10,0,0,minizinc_fw,25,1.2,1.15,4037655.0,3852775.57,161131015.0,0.05,0.09,0.0188625,5839.737450000001,,,
149,1,5000,1,9,10,0,0,ogsa_fw,25,1.2,1.04,4037655.0,3489079.13,161131015.0,0.14,0.12,0.008004347826086956,4.9906826086956535,,,
150,0,5000,1,0,10,0,0,minizinc_fw,11,1.18,1.11,4066320.0,3795073.93,164724233.0,0.07,0.1,0.016554545454545454,5192.387254545455,,,
151,1,5000,1,0,10,0,0,ogsa_fw,11,1.18,1.05,4066320.0,3613509.19,164724233.0,0.11,0.13,0.00595,4.938350000000002,,,
